id,gid,x,y,v_x,v_y,radius,time
0,0,7.868731,0.000042,-1.312690,0.000425,0.500000,0.100000
1,1,5.574815,5.574814,-0.820351,-0.820363,0.500000,0.100000
2,2,0.000037,7.863557,0.000377,-1.364430,0.500000,0.100000
3,3,-5.563287,5.563309,0.935627,-0.935406,0.500000,0.100000
4,4,-7.881877,0.000027,1.181230,0.000280,0.500000,0.100000
5,5,-5.561454,-5.561527,0.953963,0.953330,0.500000,0.100000
6,6,0.000000,-7.861674,0.000000,1.383260,0.500000,0.100000
7,7,5.573139,-5.573054,-0.837209,0.837955,0.500000,0.100000
0,0,7.737462,0.000085,-1.312690,0.000425,0.500000,0.200000
1,1,5.492780,5.492777,-0.820351,-0.820363,0.500000,0.200000
2,2,0.000075,7.727114,0.000377,-1.364430,0.500000,0.200000
3,3,-5.469725,5.469769,0.935627,-0.935406,0.500000,0.200000
4,4,-7.763754,0.000055,1.181230,0.000280,0.500000,0.200000
5,5,-5.466057,-5.466194,0.953963,0.953330,0.500000,0.200000
6,6,0.000000,-7.723348,0.000000,1.383260,0.500000,0.200000
7,7,5.489418,-5.489259,-0.837209,0.837955,0.500000,0.200000
0,0,7.602794,-0.001890,-1.346680,-0.019750,0.500000,0.300000
1,1,5.410745,5.410741,-0.820351,-0.820363,0.500000,0.300000
2,2,0.000113,7.590671,0.000377,-1.364430,0.500000,0.300000
3,3,-5.376162,5.376228,0.935627,-0.935406,0.500000,0.300000
4,4,-7.645631,0.000083,1.181230,0.000280,0.500000,0.300000
5,5,-5.370661,-5.370861,0.953963,0.953330,0.500000,0.300000
6,6,0.020673,-7.562639,0.206724,1.607091,0.500000,0.300000
7,7,5.418501,-5.404290,-0.709169,0.849689,0.500000,0.300000
0,0,7.473504,0.003245,-1.292896,0.051354,0.500000,0.400000
1,1,5.328710,5.328705,-0.820351,-0.820363,0.500000,0.400000
2,2,0.000150,7.454228,0.000377,-1.364430,0.500000,0.400000
3,3,-5.282599,5.282688,0.935627,-0.935406,0.500000,0.400000
4,4,-7.527508,0.000111,1.181230,0.000280,0.500000,0.400000
5,5,-5.275265,-5.275528,0.953963,0.953330,0.500000,0.400000
6,6,0.032651,-7.388213,0.119782,1.744255,0.500000,0.400000
7,7,5.342357,-5.329341,-0.761441,0.749491,0.500000,0.400000
0,0,7.325816,-0.010900,-1.476880,-0.141453,0.500000,0.500000
1,1,5.246674,5.246669,-0.820351,-0.820363,0.500000,0.500000
2,2,0.000188,7.317785,0.000377,-1.364430,0.500000,0.500000
3,3,-5.189037,5.189147,0.935627,-0.935406,0.500000,0.500000
4,4,-7.409385,0.000139,1.181230,0.000280,0.500000,0.500000
5,5,-5.179869,-5.180195,0.953963,0.953330,0.500000,0.500000
6,6,0.057463,-7.223116,0.248119,1.650971,0.500000,0.500000
7,7,5.267900,-5.263682,-0.744570,0.656590,0.500000,0.500000
0,0,7.163108,0.000145,-1.627088,0.110446,0.500000,0.600000
1,1,5.164639,5.164632,-0.820351,-0.820363,0.500000,0.600000
2,2,0.000226,7.181342,0.000377,-1.364430,0.500000,0.600000
3,3,-5.095474,5.095606,0.935627,-0.935406,0.500000,0.600000
4,4,-7.291262,0.000167,1.181230,0.000280,0.500000,0.600000
5,5,-5.084472,-5.084862,0.953963,0.953330,0.500000,0.600000
6,6,0.065642,-7.073905,0.081791,1.492111,0.500000,0.600000
7,7,5.188044,-5.171384,-0.798565,0.922983,0.500000,0.600000
0,0,7.024852,0.004889,-1.382555,0.047447,0.500000,0.700000
1,1,5.082604,5.082596,-0.820351,-0.820363,0.500000,0.700000
2,2,0.000264,7.044899,0.000377,-1.364430,0.500000,0.700000
3,3,-5.001911,5.002066,0.935627,-0.935406,0.500000,0.700000
4,4,-7.173139,0.000195,1.181230,0.000280,0.500000,0.700000
5,5,-4.989076,-4.989529,0.953963,0.953330,0.500000,0.700000
6,6,0.065422,-6.910246,-0.002200,1.636587,0.500000,0.700000
7,7,5.105011,-5.085349,-0.830325,0.860345,0.500000,0.700000
0,0,6.870477,-0.006953,-1.543753,-0.118418,0.500000,0.800000
1,1,5.000569,5.000560,-0.820351,-0.820363,0.500000,0.800000
2,2,0.000301,6.908456,0.000377,-1.364430,0.500000,0.800000
3,3,-4.908349,4.908525,0.935627,-0.935406,0.500000,0.800000
4,4,-7.055016,0.000223,1.181230,0.000280,0.500000,0.800000
5,5,-4.893680,-4.894196,0.953963,0.953330,0.500000,0.800000
6,6,0.076647,-6.751753,0.112255,1.584936,0.500000,0.800000
7,7,5.031603,-5.020927,-0.734081,0.644218,0.500000,0.800000
0,0,6.708106,-0.016424,-1.623706,-0.094711,0.500000,0.900000
1,1,4.918534,4.918523,-0.820351,-0.820363,0.500000,0.900000
2,2,0.000339,6.772013,0.000377,-1.364430,0.500000,0.900000
3,3,-4.814786,4.814985,0.935627,-0.935406,0.500000,0.900000
4,4,-6.936893,0.000251,1.181230,0.000280,0.500000,0.900000
5,5,-4.798283,-4.798863,0.953963,0.953330,0.500000,0.900000
6,6,0.068000,-6.588776,-0.086478,1.629766,0.500000,0.900000
7,7,4.960935,-4.951505,-0.706684,0.694227,0.500000,0.900000
0,0,6.572306,-0.009325,-1.358000,0.070984,0.500000,1.000000
1,1,4.836499,4.836487,-0.820351,-0.820363,0.500000,1.000000
2,2,0.000377,6.635570,0.000377,-1.364430,0.500000,1.000000
3,3,-4.721223,4.721444,0.935627,-0.935406,0.500000,1.000000
4,4,-6.818770,0.000279,1.181230,0.000280,0.500000,1.000000
5,5,-4.702887,-4.703530,0.953963,0.953330,0.500000,1.000000
6,6,0.090697,-6.439718,0.226972,1.490586,0.500000,1.000000
7,7,4.869827,-4.867708,-0.911074,0.837972,0.500000,1.000000
0,0,6.422910,-0.003858,-1.493965,0.054675,0.500000,1.100000
1,1,4.754464,4.754451,-0.820351,-0.820363,0.500000,1.100000
2,2,0.000414,6.499127,0.000377,-1.364430,0.500000,1.100000
3,3,-4.627661,4.627903,0.935627,-0.935406,0.500000,1.100000
4,4,-6.700647,0.000307,1.181230,0.000280,0.500000,1.100000
5,5,-4.607491,-4.608197,0.953963,0.953330,0.500000,1.100000
6,6,0.107768,-6.289513,0.170715,1.502051,0.500000,1.100000
7,7,4.781177,-4.791822,-0.886502,0.758851,0.500000,1.100000
0,0,6.272969,-0.001285,-1.499409,0.025730,0.500000,1.200000
1,1,4.672429,4.672415,-0.820351,-0.820363,0.500000,1.200000
2,2,0.000452,6.362684,0.000377,-1.364430,0.500000,1.200000
3,3,-4.534098,4.534363,0.935627,-0.935406,0.500000,1.200000
4,4,-6.582524,0.000335,1.181230,0.000280,0.500000,1.200000
5,5,-4.512094,-4.512864,0.953963,0.953330,0.500000,1.200000
6,6,0.136275,-6.115211,0.285068,1.743016,0.500000,1.200000
7,7,4.672253,-4.722033,-1.089247,0.697897,0.500000,1.200000
0,0,6.119693,0.004897,-1.532756,0.061820,0.500000,1.300000
1,1,4.590393,4.590378,-0.820351,-0.820363,0.500000,1.300000
2,2,0.000490,6.226241,0.000377,-1.364430,0.500000,1.300000
3,3,-4.440535,4.440822,0.935627,-0.935406,0.500000,1.300000
4,4,-6.464401,0.000363,1.181230,0.000280,0.500000,1.300000
5,5,-4.416698,-4.417531,0.953963,0.953330,0.500000,1.300000
6,6,0.153579,-5.953104,0.173036,1.621065,0.500000,1.300000
7,7,4.585974,-4.644251,-0.862788,0.777814,0.500000,1.300000
0,0,5.971328,0.021791,-1.483654,0.168937,0.500000,1.400000
1,1,4.508358,4.508342,-0.820351,-0.820363,0.500000,1.400000
2,2,0.000527,6.089798,0.000377,-1.364430,0.500000,1.400000
3,3,-4.346972,4.347282,0.935627,-0.935406,0.500000,1.400000
4,4,-6.346278,0.000391,1.181230,0.000280,0.500000,1.400000
